Rk,player_id,Player,PlayerName,Race,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
511,warretj01,T.J. Warren\warretj01,T.J. Warren,Black,SF,27,IND,4,117,11.6,0.56,0.137,0.196,1.9,11.1,6.5,6.5,0.8,0,6.7,21.6,0.1,0.1,0.1,0.045,-3,-2.5,-5.5,-0.1,12690000
512,washipj01,P.J. Washington\washipj01,P.J. Washington,Black,PF,22,CHO,64,1954,13.4,0.549,0.423,0.211,5.1,18.3,11.6,12.2,1.7,4,14.6,19.4,0.3,2.4,2.7,0.066,-1.4,0.3,-1.1,0.5,4215120
513,watanyu01,Yuta Watanabe\watanyu01,Yuta Watanabe,Asian/Mixed,SF,26,TOR,50,723,12.2,0.565,0.5,0.161,5.3,19.4,12.1,7.7,1.7,2.6,9,12.7,0.7,0.8,1.5,0.102,-1.1,0.4,-0.7,0.2,1762769
514,watertr01,Tremont Waters\watertr01,Tremont Waters,Black/Mixed,PG,23,BOS,26,238,14.6,0.541,0.452,0.202,2.3,7.5,4.9,36.4,3.1,0.4,22.8,21.4,0.2,0.2,0.4,0.08,0.3,0,0.3,0.1,1669178
515,watsopa01,Paul Watson\watsopa01,Paul Watson,Black,SF,26,TOR,27,297,10.9,0.649,0.78,0.098,1.4,15.7,8.3,8.2,1,1,9.5,13.7,0.4,0.2,0.6,0.096,-0.7,-0.7,-1.4,0,#N/A
516,weathqu01,Quinndary Weatherspoon\weathqu01,Quinndary Weatherspoon,Black,SG,24,SAS,20,121,9.6,0.547,0.171,0.457,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,-0.1,0.1,0.1,0.023,-5.9,0.8,-5.1,-0.1,1669178
517,westbru01,Russell Westbrook\westbru01,Russell Westbrook,Black,PG,32,WAS,65,2369,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18,30.2,0.5,3.2,3.7,0.075,2.5,0.8,3.4,3.2,44211146
518,whiteco01,Coby White\whiteco01,Coby White,Black,PG,20,CHI,69,2156,12,0.54,0.503,0.157,1.5,13,7.3,21.8,0.9,0.6,13.9,22.5,0.7,1.7,2.4,0.052,-1.1,-1.4,-2.6,-0.3,5837760
519,whitede01,Derrick White\whitede01,Derrick White,Black/Mixed,SG,26,SAS,36,1064,15,0.55,0.536,0.252,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,1,0.9,1.9,0.085,1.1,0,1.1,0.8,15178571
520,whiteha01,Hassan Whiteside\whiteha01,Hassan Whiteside,Black,C,31,SAC,36,546,19.2,0.566,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,0.3,0.6,0.9,0.081,-1.8,-0.6,-2.5,-0.1,2401537
521,whittgr01,Greg Whittington\whittgr01,Greg Whittington,#N/A,PF,27,DEN,4,12,-10.2,0,0.667,0,0,0,0,0,0,0,0,10.9,-0.1,0,-0.1,-0.259,-11.4,-6.1,-17.5,0,#N/A
522,wiggian01,Andrew Wiggins\wiggian01,Andrew Wiggins,Black,PF,25,GSW,71,2364,15,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,-0.1,-0.6,-0.7,0.8,31579390
523,willigr01,Grant Williams\willigr01,Grant Williams,Black,PF,22,BOS,63,1138,7.5,0.546,0.522,0.206,4.7,12.8,8.7,7.4,1.4,2,17.2,12.3,0.1,1,1.1,0.046,-4,0,-4,-0.6,2617800
524,willike04,Kenrich Williams\willike04,Kenrich Williams,Black,PF,26,OKC,66,1426,14,0.599,0.285,0.153,6.1,14,10,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,0.096,-1.1,0.7,-0.3,0.6,2000000
