Rk,player_id,Player,PlayerName,Race,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
47,bitadgo01,Goga Bitadze\bitadgo01,Goga Bitadze,White,C,21,IND,45,561,16.3,0.523,0.407,0.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,0.7,0.8,1.5,0.129,-1.9,0.8,-1.2,0.1,3098400
48,biyombi01,Bismack Biyombo\biyombi01,Bismack Biyombo,Black,C,28,CHO,66,1349,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.2,-0.1,-3.3,-0.5,#N/A
49,bjeline01,Nemanja Bjelica\bjeline01,Nemanja Bjelica,White,PF,32,TOT,37,595,12.9,0.554,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,0.5,0.3,0.9,0.071,-1.4,-1.1,-2.5,-0.1,2089448
50,bledser01,Eric Bledsoe\bledser01,Eric Bledsoe,Black,SG,31,NOP,71,2111,11.5,0.533,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,0.053,-1.1,-1.3,-2.3,-0.2,18125000
51,blevike01,Keljin Blevins\blevike01,Keljin Blevins,#N/A,SF,25,POR,17,75,-0.9,0.3,0.4,0,4.2,10.3,7.1,6.7,1.3,0,20,14.3,-0.2,0,-0.2,-0.137,-9,-3,-12,-0.2,#N/A
52,bogdabo01,Bogdan BogdanoviÛˆ\bogdabo01,Bogdan BogdanoviÛˆ,#N/A,SG,28,ATL,44,1305,17.6,0.616,0.589,0.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,0.142,3.4,0.4,3.8,1.9,18000000
53,bogdabo02,Bojan BogdanoviÛˆ\bogdabo02,Bojan BogdanoviÛˆ,#N/A,SF,31,UTA,72,2216,14,0.588,0.498,0.286,2,11.1,6.7,9.1,1,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.1,-0.9,-0.8,0.7,18700000
54,bolbo01,Bol Bol\bolbo01,Bol Bol,Black,PF,21,DEN,32,160,9.4,0.534,0.414,0.259,0,16.9,8.5,6,0.9,6.1,16.8,21.2,-0.2,0.2,0,-0.004,-3.6,-0.7,-4.4,-0.1,2161152
55,boldema01,Marques Bolden\boldema01,Marques Bolden,#N/A,C,22,CLE,6,29,13.3,0.537,0,2.667,11.3,11.9,11.6,0,3.4,6.1,23.5,12.8,0,0,0,0.063,-3.4,0.6,-2.8,0,1489065
56,bonejo01,Jordan Bone\bonejo01,Jordan Bone,Black,PG,23,ORL,14,196,8.9,0.519,0.593,0,2,11,6.4,13.6,0.5,0,5.3,12.6,0.1,0.1,0.2,0.045,-2.6,-1.6,-4.2,-0.1,#N/A
57,bongais01,Isaac Bonga\bongais01,Isaac Bonga,Black,SF,21,WAS,40,432,4,0.461,0.58,0.099,4.4,11.7,8.1,6.5,1.2,1.7,20.7,10.2,-0.4,0.4,0,-0.001,-5.6,-0.8,-6.4,-0.5,1729217
58,bookede01,Devin Booker\bookede01,Devin Booker,Black/Mixed,SG,24,PHO,67,2270,19.2,0.587,0.288,0.305,1.7,12.1,7,20.6,1.2,0.6,12.4,32.7,2.9,2,4.9,0.104,1.4,-1.5,-0.1,1.1,31610000
59,bouchch01,Chris Boucher\bouchch01,Chris Boucher,Black,C,28,TOR,60,1453,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4,2.1,6.1,0.201,2.8,0.1,2.9,1.8,7009615
60,bowenbr02,Brian Bowen\bowenbr02,Brian Bowen,#N/A,SF,22,IND,6,15,1,0.338,0.25,0.25,0,21.6,10.8,0,0,0,0,12.6,0,0,0,-0.063,-8.2,-3.3,-11.5,0,1669178
61,bradlav01,Avery Bradley\bradlav01,Avery Bradley,Black,SG,30,TOT,27,602,6.3,0.487,0.591,0.088,1.4,9.1,5.2,10.8,1.7,0.5,13.6,14.9,-0.5,0.4,-0.1,-0.008,-4.9,-0.8,-5.7,-0.6,8558441
62,bradlto01,Tony Bradley\bradlto01,Tony Bradley,Black,C,23,TOT,42,684,20.7,0.678,0.015,0.279,13.3,24,18.6,8.5,1,3.9,13,15.8,1.8,1,2.7,0.192,1.1,0.1,1.2,0.6,1789256
63,brantja01,Jarrell Brantley\brantja01,Jarrell Brantley,Black,PF,24,UTA,28,138,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,0.3,0.2,0.5,0.172,0.5,1.6,2.1,0.1,#N/A
64,brazdig01,Ignas Brazdeikis\brazdig01,Ignas Brazdeikis,White,SF,22,TOT,13,249,9.5,0.51,0.337,0.169,4.5,14.7,9.4,10.5,0.8,1.1,11.9,17.6,-0.1,0.1,0.1,0.016,-3.9,-1.8,-5.7,-0.2,#N/A
65,bridgmi01,Mikal Bridges\bridgmi01,Mikal Bridges,Black,SF,24,PHO,72,2348,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8,0.164,2.2,0.8,3,3,5557725
66,bridgmi02,Miles Bridges\bridgmi02,Miles Bridges,Black,PF,22,CHO,66,1932,14.7,0.625,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0,0.2,1,5421493
67,brimaam01,Amida Brimah\brimaam01,Amida Brimah,#N/A,C,26,IND,5,29,16.6,0.697,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,0,0.1,0,0.073,-5.5,1.5,-4,0,#N/A
68,brissos01,Oshae Brissett\brissos01,Oshae Brissett,Black,SF,22,IND,21,519,17.2,0.638,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3,1701593
69,brogdma01,Malcolm Brogdon\brogdma01,Malcolm Brogdon,Black/Mixed,PG,28,IND,56,1930,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7,21700000
70,brookar01,Armoni Brooks\brookar01,Armoni Brooks,#N/A,SG,22,HOU,20,520,10.4,0.565,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,0.1,0.2,0.3,0.03,-1.3,-2,-3.3,-0.2,#N/A
71,brookdi01,Dillon Brooks\brookdi01,Dillon Brooks,Black/Mixed,SF,25,MEM,67,1997,12.1,0.515,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.3,-3.9,-1,12200000
72,brownbr01,Bruce Brown\brownbr01,Bruce Brown,Black,PG,24,BRK,65,1451,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.144,-0.4,0.1,-0.3,0.6,4736102
73,brownch02,Charlie Brown\brownch02,Charlie Brown,#N/A,SG,23,OKC,9,152,4.1,0.422,0.488,0.233,2,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.8,-1.2,-8.9,-0.3,#N/A
74,brownja02,Jaylen Brown\brownja02,Jaylen Brown,Black,SG,24,BOS,58,1999,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2,4.8,0.115,3.5,-1,2.5,2.3,24830357
75,brownmo01,Moses Brown\brownmo01,Moses Brown,Black,C,21,OKC,43,920,18.8,0.572,0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,0.138,-1.2,-1.4,-2.6,-0.1,1701593
76,brownst02,Sterling Brown\brownst02,Sterling Brown,Black,SG,25,HOU,51,1229,11.1,0.597,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1,0.8,1.8,0.071,-1.7,0,-1.7,0.1,3000000
77,browntr01,Troy Brown Jr.\browntr01,Troy Brown Jr.,Black,SF,21,TOT,34,524,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1,12.1,14,0,0.5,0.5,0.043,-3.3,-1,-4.3,-0.3,5170564
78,brunsja01,Jalen Brunson\brunsja01,Jalen Brunson,Black,PG,24,DAL,68,1697,17.1,0.618,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,3.9,1.1,5.1,0.143,1.4,-0.9,0.5,1.1,1802057
79,bryanel01,Elijah Bryant\bryanel01,Elijah Bryant,#N/A,SG,25,MIL,1,32,10.6,0.559,0.385,0.231,6.8,12.7,9.9,12.6,0,2.8,21.8,24,0,0,0,0.008,-4.1,-3.6,-7.7,0,1489065
80,bryanth01,Thomas Bryant\bryanth01,Thomas Bryant,Black,C,23,WAS,10,271,18.7,0.704,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1,0.171,2.1,-1.7,0.4,0.2,8730159
81,bullore01,Reggie Bullock\bullore01,Reggie Bullock,Black,SF,29,NYK,65,1949,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9,9536000
82,burketr01,Trey Burke\burketr01,Trey Burke,#N/A,PG,28,DAL,62,911,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8,20,0.7,0.7,1.4,0.071,-1.3,-0.7,-2,0,3333333
83,burksal01,Alec Burks\burksal01,Alec Burks,Black,SG,29,NYK,49,1255,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.6,0.3,0.9,0.9,9536000
84,butleji01,Jimmy Butler\butleji01,Jimmy Butler,Black,SF,31,MIA,52,1745,26.5,0.607,0.139,0.565,6.3,17.1,11.8,35.1,3.1,1.1,10.6,26.6,6.6,2.7,9.3,0.255,5.1,2.5,7.5,4.2,36016200
85,cabocbr01,Bruno Caboclo\cabocbr01,Bruno Caboclo,Black,PF,25,HOU,6,36,9,0.475,0.294,0.118,8.5,34,20.7,4.7,0,5,18.3,25.8,-0.1,0,-0.1,-0.088,-8.5,-2.1,-10.6,-0.1,#N/A
86,cacokde01,Devontae Cacok\cacokde01,Devontae Cacok,Black,PF,24,LAL,20,98,17.2,0.576,0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,0.1,0.2,0.3,0.142,-1.3,0.6,-0.7,0,1669178
87,caldwke01,Kentavious Caldwell-Pope\caldwke01,Kentavious Caldwell-Pope,Black,SG,27,LAL,67,1902,10.7,0.588,0.579,0.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,1.6,2.6,4.2,0.107,-1.5,0.6,-0.9,0.6,13038862
88,campafa01,Facundo Campazzo\campafa01,Facundo Campazzo,#N/A,PG,29,DEN,65,1425,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1,-0.8,0.5,3804150
89,cancavl01,Vlatko ÛëanÛçar\cancavl01,Vlatko ÛëanÛçar,#N/A,PF,23,DEN,41,281,9.7,0.547,0.458,0.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,0,0.3,0.3,0.053,-2.6,-0.1,-2.7,0,1782621
90,cannade01,Devin Cannady\cannade01,Devin Cannady,#N/A,PG,24,ORL,8,74,11.2,0.547,0.571,0.25,0,7.3,3.5,2.1,3.3,1.2,6,19.3,0,0.1,0.1,0.057,-4.4,1.3,-3.1,0,1489065
91,capelca01,Clint Capela\capelca01,Clint Capela,Black,C,26,ATL,63,1898,24.3,0.601,0,0.327,17.5,34.3,26.1,4.1,1.1,6,8.4,19.9,4.9,3.3,8.2,0.207,2.7,-0.2,2.5,2.1,17103448
92,careyve01,Vernon Carey Jr.\careyve01,Vernon Carey Jr.,#N/A,C,19,CHO,19,115,11.7,0.563,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0,0.1,0.2,0.066,-4.4,-1.8,-6.2,-0.1,1517981
93,cartemi01,Michael Carter-Williams\cartemi01,Michael Carter-Williams,Black/Mixed,SG,29,ORL,31,800,9.5,0.449,0.226,0.296,4.9,13.4,9,24.3,1.5,1.9,18.4,20.2,-1.1,0.6,-0.5,-0.028,-4.5,-0.1,-4.6,-0.5,3000000
94,carteje01,Jevon Carter\carteje01,Jevon Carter,Black,PG,25,PHO,60,717,12.2,0.548,0.677,0.031,2.6,11.8,7.3,13,2,1.1,6.6,15,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5,3833333
95,cartewe01,Wendell Carter Jr.\cartewe01,Wendell Carter Jr.,Black,C,21,TOT,54,1375,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.118,-1,-0.5,-1.5,0.1,6920027
96,carusal01,Alex Caruso\carusal01,Alex Caruso,White,PG,26,LAL,58,1216,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3,2.1,2.4,0.095,-2.5,2.3,-0.2,0.6,8604651
97,caulewi01,Willie Cauley-Stein\caulewi01,Willie Cauley-Stein,Black,C,27,DAL,53,906,14.3,0.647,0.06,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12,1.6,1.2,2.8,0.147,-2.2,0.6,-1.6,0.1,4200000
98,chiozch01,Chris Chiozza\chiozch01,Chris Chiozza,Black/Mixed,PG,25,BRK,22,232,12.9,0.461,0.477,0.193,1.5,9.5,5.7,36.9,1.5,2.3,14.4,21,0.1,0.2,0.3,0.063,-0.7,-0.9,-1.6,0,#N/A
99,chrisma01,Marquese Chriss\chrisma01,Marquese Chriss,Black,PF,23,GSW,2,27,11.8,0.412,0.357,0.286,12,38.9,25.6,11,0,6.5,11.3,28.1,-0.1,0.1,0,-0.03,-2.2,-1,-3.2,0,1789256
100,clarkga01,Gary Clark\clarkga01,Gary Clark,Black,SF-PF,26,TOT,39,654,6,0.436,0.818,0.076,5.1,13.5,9.1,6.4,1,1,11.1,10.1,-0.3,0.4,0.1,0.008,-4,-0.9,-4.9,-0.5,2100000
101,clarkbr01,Brandon Clarke\clarkbr01,Brandon Clarke,Black,PF,24,MEM,59,1415,17.3,0.56,0.156,0.228,7.2,17.5,12.3,9.5,2,3.2,5.7,17.2,2.2,2,4.2,0.142,0.3,1,1.3,1.2,2726880
102,clarkjo01,Jordan Clarkson\clarkjo01,Jordan Clarkson,Black/Mixed,SG,28,UTA,68,1818,17.1,0.549,0.557,0.134,2.9,12.7,8,15.3,1.6,0.4,9.2,29.7,1.7,2.5,4.2,0.111,1.9,-0.8,1.1,1.4,12420000
103,claxtni01,Nicolas Claxton\claxtni01,Nicolas Claxton,Black,C,21,BRK,32,594,16.9,0.612,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14,1,0.9,1.9,0.153,-0.8,1.1,0.3,0.3,1782621
104,coffeam01,Amir Coffey\coffeam01,Amir Coffey,Black,SG,23,LAC,44,394,10.1,0.585,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.1,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,#N/A
105,collijo01,John Collins\collijo01,John Collins,Black,PF,23,ATL,63,1848,20.6,0.645,0.27,0.265,7.1,20.3,13.8,6.9,0.9,3,8.9,22.2,4.8,1.9,6.7,0.174,2.5,-0.4,2.1,1.9,23000000
106,conlemi01,Mike Conley\conlemi01,Mike Conley,Black,PG,33,UTA,51,1498,19.2,0.589,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,4,2.1,6.1,0.197,3.5,0.9,4.4,2.4,21000000
107,connapa01,Pat Connaughton\connapa01,Pat Connaughton,White,SG,28,MIL,69,1575,11.3,0.578,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,0.108,-0.4,0.1,-0.4,0.6,5333333
108,cookqu01,Quinn Cook\cookqu01,Quinn Cook,Black,PG,27,TOT,23,157,12.7,0.531,0.382,0.118,1.4,10.9,6.1,18.3,1.3,0.6,8.9,21.8,0.1,0.1,0.2,0.061,-1.2,-0.4,-1.5,0,1939350
109,cookty01,Tyler Cook\cookty01,Tyler Cook,#N/A,SF-PF,23,TOT,32,438,12.8,0.659,0.019,0.34,7,17.2,12.1,5.9,0.9,0.4,15.1,13.9,0.5,0.3,0.8,0.09,-2.5,-0.5,-3,-0.1,1669178
110,couside01,DeMarcus Cousins\couside01,DeMarcus Cousins,#N/A,C,30,TOT,41,713,16.4,0.537,0.443,0.266,8,32.7,20,16.3,2.3,3,15.8,24.5,0,1.2,1.2,0.079,-1.2,1.9,0.7,0.5,#N/A
111,covinro01,Robert Covington\covinro01,Robert Covington,Black,PF,30,POR,70,2243,11.2,0.553,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,0.08,-1.5,1.2,-0.3,1,12975471
112,craigto01,Torrey Craig\craigto01,Torrey Craig,Black,SF,30,TOT,50,803,14.2,0.579,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,1.1,1.1,2.2,0.133,-0.3,0.7,0.3,0.5,4878049
113,crowdja01,Jae Crowder\crowdja01,Jae Crowder,Black,PF,30,PHO,60,1648,11.8,0.574,0.772,0.152,2.2,16.9,9.7,10,1.4,1.5,9.5,15.7,1.4,1.9,3.3,0.097,0.1,0.7,0.8,1.2,9720900
114,culveja01,Jarrett Culver\culveja01,Jarrett Culver,Black,SG,21,MIN,34,499,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,-0.4,0.3,-0.1,-0.006,-4.8,-1.8,-6.6,-0.6,6395160
115,curryse01,Seth Curry\curryse01,Seth Curry,Black,SG,30,PHI,57,1638,12.9,0.607,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10,17.1,2.3,1.7,4,0.118,-0.1,-0.8,-0.9,0.5,8186047
116,curryst01,Stephen Curry\curryst01,Stephen Curry,Black,PG,32,GSW,63,2152,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9,0.201,8.1,0,8.1,5.5,45780966
117,darlina01,Nate Darling\darlina01,Nate Darling,#N/A,SG,22,CHO,7,26,8.2,0.541,1,0.429,4.1,0,2.1,5.1,0,3.8,10.7,15.4,0,0,0,0.038,-1.5,-2.7,-4.2,0,#N/A
118,davisan02,Anthony Davis\davisan02,Anthony Davis,Black,PF,27,LAL,36,1162,22.1,0.556,0.163,0.349,6,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.3,2.4,3.7,0.152,2.9,1.6,4.5,1.9,35361360
119,davised01,Ed Davis\davised01,Ed Davis,Black,C,31,MIN,23,299,13.1,0.487,0,0.273,16.1,26,20.8,9,2.1,3.8,12.4,7.9,0.5,0.4,0.8,0.135,-3.5,0.7,-2.9,-0.1,#N/A
120,daviste02,Terence Davis\daviste02,Terence Davis,Black,SG,23,TOT,61,1074,12.7,0.555,0.586,0.121,2,14.1,7.9,11.4,2,1.2,11.6,21.8,0.1,0.8,0.8,0.038,-1,-1,-2,0,4000000
121,deckga01,Gabriel Deck\deckga01,Gabriel Deck,#N/A,PF,25,OKC,10,212,16.1,0.548,0.224,0.328,7.8,11.9,9.8,17.3,1.8,0,7.3,16.6,0.4,0.1,0.5,0.12,-0.3,-0.1,-0.4,0.1,3670000
122,dedmode01,Dewayne Dedmon\dedmode01,Dewayne Dedmon,Black,C,31,MIA,16,210,24.5,0.735,0.077,0.415,15.5,31,23.4,9.6,2.1,3,14.5,19.3,0.7,0.4,1.1,0.256,1.2,0.7,1.9,0.2,5256308
123,dellama01,Matthew Dellavedova\dellama01,Matthew Dellavedova,White,PG,30,CLE,13,224,7.3,0.312,0.446,0.071,2.9,9.2,6,35.3,0.9,0.4,9.4,12.4,-0.1,0.1,0,0.005,-4.6,-2,-6.6,-0.3,#N/A
124,derozde01,DeMar DeRozan\derozde01,DeMar DeRozan,Black,PF,31,SAS,61,2056,22,0.591,0.08,0.478,2,11.6,6.7,32,1.3,0.6,9.7,26.1,5.9,1.5,7.4,0.172,3.4,-0.2,3.2,2.7,26984127
125,diakima01,Mamadi Diakite\diakima01,Mamadi Diakite,#N/A,PF,24,MIL,14,141,12.3,0.477,0.2,0.35,6.2,18.7,12.7,7,2.3,3.8,6.1,14.6,0.1,0.2,0.3,0.102,-3.2,0.4,-2.7,0,1517981
126,diallha01,Hamidou Diallo\diallha01,Hamidou Diallo,Black,SG-SF,22,TOT,52,1226,14.3,0.541,0.174,0.426,5.1,18.8,11.9,13.3,1.6,1.7,12,22.2,0.3,1.3,1.6,0.063,-2.2,-0.1,-2.3,-0.1,5200000
127,dienggo01,Gorgui Dieng\dienggo01,Gorgui Dieng,Black,C,31,TOT,38,552,19.2,0.67,0.429,0.411,7.6,19.5,13.5,12,2.3,2.6,14.3,17.4,1.3,0.8,2.1,0.185,1.6,1.3,3,0.7,4000000
128,dinwisp01,Spencer Dinwiddie\dinwisp01,Spencer Dinwiddie,Black,SG,27,BRK,3,64,10.1,0.536,0.438,0.375,0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,0,0.1,0.1,0.045,-3.4,2,-1.4,0,17142857
129,divindo01,Donte DiVincenzo\divindo01,Donte DiVincenzo,White,SG,24,MIL,66,1814,13,0.542,0.574,0.118,4.9,16.7,11,14.2,1.9,0.7,12.5,16.7,1.5,2.1,3.6,0.095,-0.3,0.2,-0.1,0.9,4675830
130,doncilu01,Luka DonÛçiÛˆ\doncilu01,Luka DonÛçiÛˆ,#N/A,PG,21,DAL,66,2262,25.3,0.587,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36,5.1,2.6,7.7,0.163,6.1,0.6,6.7,5,10174391
131,dortlu01,Luguentz Dort\dortlu01,Luguentz Dort,Black,SG,21,OKC,52,1543,10.1,0.513,0.515,0.257,2.5,10.3,6.4,8.8,1.4,1.1,10,21.7,-0.6,1,0.3,0.011,-2.7,-1,-3.7,-0.7,1782621
132,dotsoda01,Damyean Dotson\dotsoda01,Damyean Dotson,Black,SG,26,CLE,46,907,8.1,0.499,0.543,0.123,0.6,11.1,5.7,15.1,0.9,0.4,12,16.9,-0.4,0.3,0,-0.002,-3.3,-1.6,-4.8,-0.6,#N/A
133,dotsode01,Devon Dotson\dotsode01,Devon Dotson,#N/A,PG,21,CHI,11,50,19.3,0.548,0.333,0,4.5,6.6,5.5,21.4,3.9,0,0,18.2,0.1,0.1,0.2,0.177,-0.1,2.2,2.1,0.1,#N/A
134,doumbse01,Sekou Doumbouya\doumbse01,Sekou Doumbouya,Black,PF,20,DET,56,869,6.9,0.459,0.408,0.227,4.9,13.5,9.2,8,1.4,0.9,12.4,17.8,-0.9,0.7,-0.2,-0.012,-5.4,-1.7,-7,-1.1,0
135,doziepj01,PJ Dozier\doziepj01,PJ Dozier,Black,SG,24,DEN,50,1088,10.4,0.501,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2,10.7,17.2,0.1,1.1,1.1,0.051,-2.2,-0.8,-3,-0.3,#N/A
136,dragigo01,Goran DragiÛˆ\dragigo01,Goran DragiÛˆ,#N/A,PG,34,MIA,50,1337,13,0.552,0.44,0.22,2.2,12.1,7.2,25.9,1.2,0.6,16.2,24.5,0.2,1.2,1.3,0.048,-1.2,-1.8,-3,-0.3,19440000
137,drumman01,Andre Drummond\drumman01,Andre Drummond,Black,C,27,TOT,46,1242,19.4,0.519,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,-0.6,2.5,2,0.077,-1.4,0.6,-0.9,0.3,2401537
138,dudleja01,Jared Dudley\dudleja01,Jared Dudley,Black/Mixed,PF,35,LAL,12,81,4.4,0.333,0.667,0,5.6,23.5,14.6,7.6,0.6,1.1,18.2,5.9,0,0.1,0.1,0.053,-4.5,-0.2,-4.7,-0.1,#N/A
139,dunnkr01,Kris Dunn\dunnkr01,Kris Dunn,Black,PG,26,ATL,4,45,-5.7,0.182,0.167,0.333,0,14.3,7.3,5.4,2.2,3.9,17.9,16.2,-0.2,0.1,-0.2,-0.202,-13.9,0,-13.9,-0.1,5005350
140,duranke01,Kevin Durant\duranke01,Kevin Durant,Black,PF,32,BRK,35,1157,26.4,0.666,0.313,0.395,1.3,21.3,11.8,27.5,1,3.4,14.5,31.2,3.7,1.2,5,0.206,6.2,0.6,6.9,2.6,40918900
141,edwaran01,Anthony Edwards\edwaran01,Anthony Edwards,#N/A,SG,19,MIN,72,2314,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27,-0.6,1.4,0.8,0.017,-0.9,-1.7,-2.6,-0.3,10245480
142,edwarca01,Carsen Edwards\edwarca01,Carsen Edwards,Black,SG,22,BOS,31,276,10.2,0.527,0.568,0.117,1.2,9.4,5.2,7.4,1.2,0.3,5.7,19.3,0.1,0.2,0.3,0.051,-2.9,-1.9,-4.8,-0.2,#N/A
143,ellebcj01,CJ Elleby\ellebcj01,CJ Elleby,#N/A,SF,20,POR,30,192,9.4,0.468,0.515,0.227,6,12,8.9,7.1,1.5,1.4,6.4,17.4,0,0.1,0.1,0.032,-4.1,-1.5,-5.6,-0.2,1517981
144,ellenhe01,Henry Ellenson\ellenhe01,Henry Ellenson,#N/A,PF,24,TOR,2,38,12.8,0.476,0.643,0.286,8.4,27,17.4,18.9,0,0,0,17.9,0.1,0,0.1,0.127,-3.1,1,-2.1,0,#N/A
145,ellinwa01,Wayne Ellington\ellinwa01,Wayne Ellington,Black,SG,33,DET,46,1012,12.2,0.625,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,1.3,0.5,1.9,0.088,1.3,-1.7,-0.4,0.4,2641691
146,embiijo01,Joel Embiid\embiijo01,Joel Embiid,Black,C,26,PHI,51,1585,30.3,0.636,0.171,0.61,8,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.2,1,7.2,3.7,31579390
147,ennisja01,James Ennis\ennisja01,James Ennis,#N/A,SF,30,ORL,41,986,12.5,0.613,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,1.3,0.7,2,0.097,-1.9,-0.2,-2.1,0,#N/A
148,eubandr01,Drew Eubanks\eubandr01,Drew Eubanks,White,C,23,SAS,54,755,17.9,0.618,0.01,0.517,10.2,24,17,7.9,1.2,5.5,15.2,17.1,1.2,1.1,2.3,0.145,-1.1,1.2,0,0.4,1762796
149,exumda01,Dante Exum\exumda01,Dante Exum,Black/Mixed,SG,25,CLE,6,116,5.9,0.428,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,-0.2,0.1,-0.1,-0.025,-4.8,1.7,-3.1,0,2500000
150,fallta01,Tacko Fall\fallta01,Tacko Fall,Black,C,25,BOS,19,136,19.6,0.66,0,0.517,13,29.7,21.3,3.1,0.4,13.7,14.4,13.2,0.2,0.3,0.5,0.177,-1.5,2.6,1.1,0.1,1669178
151,favorde01,Derrick Favors\favorde01,Derrick Favors,Black,C,29,UTA,68,1039,19.7,0.663,0.008,0.329,14.7,23.3,19.2,6,1.5,5.3,11.5,13,2.9,2.2,5.1,0.237,0.2,1.8,2,1,9720900
